"","age","drinks","drugs","height","orientation","sex","sign","ethnicity"
"19506",25,"socially","never",70,"straight","m","capricorn","hispanic / latin"
"19508",30,"socially","never",69,"straight","m","virgo","white"
"19509",25,"socially","sometimes",67,"bisexual","m","gemini","white"
"19510",25,"socially","never",71,"straight","m","taurus","white"
"19512",28,"socially","never",74,"straight","m","gemini","white"
"19513",36,"socially","never",64,"straight","f","capricorn","white"
"19514",22,"not at all","never",74,"straight","m","gemini","white"
"19515",23,"socially","never",70,"straight","m","libra","white"
"19519",23,"not at all","never",70,"straight","m","virgo","mixed"
"19520",28,"often","never",67,"gay","m","aries","white"
"19521",28,"socially","never",70,"straight","m","pisces","white"
"19527",61,"socially","never",70,"straight","m","taurus","white"
"19533",39,"socially","sometimes",71,"straight","m","sagittarius","white"
"19537",34,"socially","never",70,"gay","m","cancer","white"
"19538",31,"socially","never",63,"straight","f","sagittarius","hispanic / latin"
"19539",30,"socially","never",62,"straight","f","virgo","asian"
"19541",24,"socially","sometimes",69,"straight","m","libra","black"
"19542",33,"socially","never",64,"straight","f","virgo","white"
"19544",30,"socially","sometimes",67,"straight","m","virgo","asian"
"19547",56,"socially","never",72,"straight","m","gemini","white"
"19549",36,"socially","sometimes",71,"straight","m","scorpio","mixed"
"19550",23,"rarely","never",66,"straight","m","libra","hispanic / latin"
"19555",27,"rarely","sometimes",66,"straight","m","gemini","asian"
"19556",41,"socially","never",62,"bisexual","f","sagittarius","hispanic / latin"
"19557",33,"socially","often",70,"straight","m","capricorn","mixed"
"19558",24,"socially","never",71,"gay","m","leo","white"
"19560",27,"rarely","never",69,"straight","m","pisces","white"
"19562",33,"socially","never",65,"straight","f","virgo","mixed"
"19565",30,"often","never",74,"straight","m","capricorn","white"
"19566",60,"often","never",72,"straight","m","virgo","white"
"19568",44,"socially","never",74,"straight","m","pisces","white"
"19569",40,"socially","never",65,"straight","f","aries","hispanic / latin"
"19570",27,"socially","never",68,"straight","f","cancer","white"
"19571",25,"socially","never",69,"straight","f","libra","white"
"19572",25,"socially","never",68,"straight","m","gemini","white"
"19573",31,"not at all","never",64,"straight","m","taurus","asian"
"19574",22,"socially","never",63,"gay","f","capricorn","asian"
"19584",36,"socially","never",70,"straight","f","sagittarius","mixed"
"19585",27,"socially","never",64,"straight","f","aquarius","white"
"19587",27,"socially","never",66,"straight","f","libra","hispanic / latin"
"19588",42,"rarely","never",69,"straight","m","aquarius","mixed"
"19589",30,"socially","sometimes",70,"gay","m","gemini","white"
"19593",30,"socially","never",67,"straight","m","pisces","mixed"
"19594",29,"often","never",74,"straight","m","libra","white"
"19595",43,"not at all","never",79,"straight","m","cancer","white"
"19599",29,"socially","never",68,"straight","m","capricorn","asian"
"19600",24,"socially","sometimes",75,"straight","m","taurus","white"
"19603",31,"rarely","never",71,"straight","m","leo","white"
"19605",29,"socially","never",71,"straight","m","capricorn","white"
"19608",23,"socially","never",62,"straight","m","pisces","asian"
"19609",28,"socially","never",67,"straight","m","scorpio","asian"
"19614",20,"socially","never",63,"straight","f","cancer","mixed"
"19615",37,"socially","sometimes",62,"straight","f","gemini","white"
"19616",27,"socially","never",65,"gay","m","pisces","mixed"
"19618",32,"socially","never",69,"straight","m","cancer","mixed"
"19620",43,"socially","never",68,"straight","m","cancer","white"
"19624",46,"socially","never",74,"straight","m","cancer","white"
"19626",30,"socially","never",70,"gay","m","leo","white"
"19628",46,"socially","sometimes",68,"straight","f","libra","white"
"19631",25,"often","never",68,"gay","m","aquarius","hispanic / latin"
"19635",28,"rarely","never",68,"straight","m","gemini","asian"
"19636",65,"socially","never",65,"gay","f","gemini","white"
"19637",40,"socially","sometimes",72,"straight","m","pisces","white"
"19638",30,"often","never",76,"straight","m","scorpio","white"
"19639",48,"socially","never",63,"straight","f","capricorn","white"
"19640",46,"socially","never",64,"straight","f","virgo","white"
"19646",24,"socially","never",58,"straight","f","pisces","mixed"
"19647",35,"socially","never",66,"straight","f","aries","white"
"19648",29,"socially","never",70,"straight","m","gemini","white"
"19651",36,"often","never",69,"straight","m","virgo","mixed"
"19652",30,"socially","sometimes",67,"straight","m","sagittarius","white"
"19653",36,"socially","never",62,"straight","f","virgo","mixed"
"19655",38,"often","sometimes",73,"straight","m","gemini","white"
"19656",51,"rarely","never",68,"straight","m","aquarius","white"
"19657",39,"not at all","never",72,"straight","m","cancer","mixed"
"19658",45,"not at all","never",68,"gay","m","cancer","mixed"
"19661",25,"socially","never",63,"straight","m","aries","mixed"
"19665",34,"socially","never",76,"straight","m","leo","white"
"19666",24,"often","never",70,"gay","m","taurus","asian"
"19667",31,"socially","sometimes",69,"straight","f","leo","white"
"19668",37,"socially","never",63,"straight","f","leo","asian"
"19669",24,"socially","never",63,"straight","m","capricorn","hispanic / latin"
"19671",27,"socially","never",68,"straight","m","aquarius","mixed"
"19674",27,"socially","never",71,"straight","m","cancer","white"
"19675",30,"socially","never",69,"gay","m","virgo","hispanic / latin"
"19683",30,"socially","never",66,"straight","f","capricorn","black"
"19684",31,"socially","never",66,"straight","f","gemini","white"
"19685",37,"not at all","never",76,"straight","m","scorpio","white"
"19686",31,"not at all","never",70,"straight","f","gemini","white"
"19690",24,"socially","never",65,"straight","f","sagittarius","black"
"19693",34,"socially","never",69,"gay","m","leo","black"
"19694",28,"socially","never",66,"straight","f","sagittarius","asian"
"19695",29,"socially","never",65,"straight","f","cancer","asian"
"19696",28,"socially","sometimes",70,"straight","f","capricorn","white"
"19697",25,"socially","never",69,"bisexual","m","aquarius","mixed"
"19700",34,"socially","never",73,"straight","m","pisces","white"
"19704",34,"socially","never",76,"straight","m","aquarius","white"
"19708",28,"socially","sometimes",75,"straight","m","gemini","mixed"
"19709",24,"socially","never",68,"straight","f","sagittarius","mixed"
"19710",46,"socially","never",64,"straight","f","leo","indian"
"19711",37,"often","sometimes",72,"straight","m","capricorn","mixed"
"19712",23,"socially","never",67,"straight","f","gemini","mixed"
"19713",45,"socially","sometimes",66,"straight","f","leo","white"
"19714",35,"socially","never",63,"straight","f","aries","white"
"19715",18,"socially","never",69,"straight","m","libra","mixed"
"19716",21,"socially","never",72,"straight","m","pisces","white"
"19717",26,"socially","never",72,"straight","m","sagittarius","white"
"19720",28,"socially","never",76,"straight","m","leo","white"
"19721",22,"socially","never",67,"straight","f","taurus","white"
"19722",21,"socially","never",67,"straight","f","taurus","mixed"
"19723",29,"socially","never",65,"straight","f","taurus","white"
"19724",29,"socially","never",70,"straight","m","libra","mixed"
"19727",29,"socially","never",68,"straight","m","scorpio","asian"
"19730",46,"not at all","never",68,"straight","f","gemini","white"
"19732",27,"not at all","never",71,"straight","m","cancer","mixed"
"19733",31,"socially","never",69,"straight","m","libra","hispanic / latin"
"19734",21,"often","sometimes",68,"bisexual","f","sagittarius","white"
"19735",44,"socially","never",65,"gay","f","virgo","white"
"19737",30,"socially","never",65,"straight","f","libra","white"
"19738",23,"socially","sometimes",62,"bisexual","f","taurus","white"
"19739",29,"socially","never",71,"straight","m","cancer","black"
"19741",32,"socially","never",67,"straight","f","sagittarius","white"
"19745",24,"socially","never",70,"straight","m","capricorn","mixed"
"19746",44,"rarely","never",69,"straight","m","pisces","white"
"19748",50,"socially","never",68,"gay","m","gemini","white"
"19751",35,"socially","sometimes",70,"straight","m","cancer","white"
"19752",32,"socially","never",62,"straight","f","pisces","white"
"19753",38,"socially","never",66,"straight","f","scorpio","hispanic / latin"
"19754",32,"socially","never",72,"straight","m","taurus","white"
"19755",38,"socially","never",69,"straight","m","cancer","white"
"19756",22,"socially","never",65,"straight","f","pisces","white"
"19757",38,"socially","sometimes",68,"bisexual","f","taurus","white"
"19759",27,"often","never",72,"straight","m","leo","mixed"
"19760",25,"socially","sometimes",66,"straight","f","cancer","white"
"19762",34,"socially","never",66,"gay","m","virgo","white"
"19763",44,"socially","never",76,"gay","m","pisces","mixed"
"19764",23,"rarely","never",70,"straight","m","aquarius","white"
"19767",49,"socially","sometimes",74,"straight","m","aquarius","white"
"19768",40,"socially","never",62,"straight","f","sagittarius","asian"
"19769",38,"socially","sometimes",67,"bisexual","m","capricorn","white"
"19772",48,"socially","never",69,"straight","m","cancer","white"
"19774",37,"socially","never",76,"straight","m","cancer","white"
"19776",68,"socially","sometimes",65,"straight","f","gemini","hispanic / latin"
"19782",57,"socially","never",70,"straight","m","sagittarius","white"
"19784",20,"socially","never",74,"straight","m","scorpio","white"
"19785",63,"socially","never",74,"straight","m","pisces","white"
"19786",42,"socially","never",64,"straight","f","cancer","hispanic / latin"
"19788",32,"socially","never",67,"straight","m","leo","mixed"
"19789",29,"socially","never",70,"straight","f","leo","asian"
"19790",23,"socially","never",73,"straight","m","libra","mixed"
"19791",44,"rarely","never",74,"gay","m","libra","white"
"19793",66,"not at all","never",67,"straight","f","virgo","white"
"19797",40,"socially","never",61,"straight","f","aries","white"
"19798",35,"socially","never",65,"straight","f","sagittarius","white"
"19799",56,"often","never",69,"straight","m","virgo","mixed"
"19802",25,"socially","never",71,"straight","f","leo","mixed"
"19805",28,"socially","never",69,"straight","m","libra","middle eastern"
"19809",29,"socially","never",65,"straight","f","sagittarius","white"
"19811",29,"socially","never",70,"straight","m","scorpio","white"
"19812",43,"socially","never",66,"straight","f","gemini","hispanic / latin"
"19813",47,"socially","never",70,"straight","m","taurus","mixed"
"19816",26,"socially","sometimes",73,"straight","m","sagittarius","white"
"19817",41,"very often","often",72,"straight","m","virgo","white"
"19818",50,"socially","never",63,"straight","f","virgo","white"
"19820",46,"socially","never",61,"straight","f","scorpio","mixed"
"19821",33,"socially","never",72,"straight","m","cancer","white"
"19822",62,"socially","never",68,"straight","f","gemini","white"
"19824",52,"socially","never",63,"straight","f","libra","white"
"19826",38,"socially","never",70,"straight","f","aquarius","white"
"19827",30,"socially","never",74,"straight","m","taurus","hispanic / latin"
"19828",39,"socially","never",65,"straight","m","capricorn","white"
"19829",41,"socially","never",64,"straight","f","taurus","white"
"19830",27,"socially","never",66,"straight","m","virgo","white"
"19831",26,"not at all","never",64,"straight","f","scorpio","white"
"19832",28,"socially","never",71,"gay","m","cancer","mixed"
"19833",32,"socially","never",70,"straight","m","aquarius","asian"
"19836",45,"socially","never",71,"straight","m","aquarius","white"
"19839",41,"socially","sometimes",67,"straight","f","aquarius","white"
"19841",32,"socially","never",60,"straight","f","scorpio","black"
"19844",24,"socially","never",71,"straight","m","aquarius","white"
"19845",22,"socially","sometimes",67,"bisexual","f","taurus","white"
"19846",32,"socially","sometimes",70,"straight","m","gemini","white"
"19848",26,"socially","never",70,"straight","m","aries","mixed"
"19849",41,"socially","never",72,"straight","m","aquarius","white"
"19850",49,"socially","never",68,"straight","f","scorpio","white"
"19852",31,"socially","never",76,"straight","m","leo","hispanic / latin"
"19853",39,"socially","never",62,"straight","f","pisces","white"
"19854",25,"socially","never",74,"straight","m","cancer","white"
"19857",28,"socially","never",69,"straight","m","aquarius","white"
"19859",51,"not at all","never",61,"straight","f","pisces","white"
"19860",32,"socially","never",75,"straight","m","cancer","white"
"19861",39,"socially","never",68,"straight","m","leo","white"
"19862",56,"socially","never",66,"straight","f","leo","white"
"19864",31,"rarely","never",63,"straight","f","aquarius","white"
"19865",26,"socially","never",68,"straight","f","scorpio","white"
"19866",38,"socially","sometimes",67,"straight","f","gemini","white"
"19868",32,"socially","never",63,"straight","f","pisces","white"
"19872",38,"socially","never",74,"straight","m","gemini","mixed"
"19874",51,"socially","never",72,"gay","m","gemini","white"
"19878",34,"socially","never",70,"straight","m","cancer","white"
"19880",30,"socially","never",67,"straight","m","gemini","asian"
"19881",37,"rarely","never",72,"bisexual","m","scorpio","white"
"19882",35,"socially","never",69,"straight","m","taurus","white"
"19884",35,"socially","never",64,"straight","m","scorpio","white"
"19885",38,"not at all","never",68,"straight","m","virgo","mixed"
"19887",43,"socially","never",60,"straight","f","scorpio","mixed"
"19888",26,"socially","never",66,"straight","f","aquarius","hispanic / latin"
"19891",33,"not at all","never",68,"straight","m","libra","asian"
"19893",38,"not at all","never",72,"straight","m","libra","mixed"
"19894",44,"socially","never",69,"gay","f","pisces","white"
"19896",56,"socially","never",72,"bisexual","m","cancer","white"
"19897",42,"socially","never",75,"straight","m","taurus","white"
"19898",35,"often","never",60,"gay","f","cancer","hispanic / latin"
"19900",38,"socially","sometimes",70,"gay","m","cancer","asian"
"19902",31,"socially","never",72,"straight","m","scorpio","asian"
"19909",46,"socially","sometimes",69,"straight","m","virgo","white"
"19910",33,"socially","never",64,"straight","f","libra","white"
"19911",25,"socially","never",53,"straight","m","virgo","hispanic / latin"
"19912",37,"socially","never",69,"straight","m","aquarius","black"
"19914",32,"not at all","never",68,"straight","m","libra","white"
"19915",51,"rarely","never",68,"straight","f","capricorn","white"
"19916",37,"socially","never",70,"straight","f","scorpio","white"
"19917",30,"socially","never",66,"straight","m","libra","mixed"
"19918",57,"socially","never",72,"straight","m","scorpio","white"
"19921",43,"socially","never",67,"straight","f","cancer","white"
"19922",48,"rarely","never",68,"straight","m","capricorn","middle eastern"
"19923",59,"socially","never",69,"straight","f","taurus","mixed"
"19924",57,"socially","never",66,"straight","f","leo","white"
"19926",38,"rarely","never",73,"bisexual","m","taurus","mixed"
"19927",30,"socially","never",75,"straight","m","sagittarius","white"
"19929",27,"socially","never",68,"straight","m","sagittarius","white"
"19931",42,"socially","sometimes",65,"bisexual","f","virgo","mixed"
"19932",28,"socially","never",65,"straight","m","pisces","mixed"
"19933",53,"socially","never",69,"straight","m","taurus","white"
"19938",47,"rarely","never",68,"straight","m","leo","white"
"19939",26,"rarely","never",70,"straight","m","virgo","mixed"
"19944",36,"socially","never",69,"straight","f","virgo","white"
"19946",41,"socially","sometimes",69,"gay","m","libra","white"
"19947",25,"socially","never",64,"straight","f","cancer","white"
"19950",23,"socially","never",61,"straight","f","capricorn","asian"
"19951",45,"socially","never",67,"straight","m","gemini","white"
"19952",45,"socially","never",68,"straight","f","gemini","black"
"19954",33,"often","never",69,"straight","f","scorpio","white"
"19955",38,"socially","never",64,"straight","f","capricorn","white"
"19956",39,"socially","never",63,"straight","f","pisces","white"
"19958",30,"socially","never",62,"straight","f","virgo","white"
"19962",43,"very often","never",65,"gay","m","capricorn","mixed"
"19963",29,"socially","never",68,"gay","m","aquarius","white"
"19965",24,"not at all","never",60,"straight","f","scorpio","mixed"
"19966",38,"socially","never",63,"straight","f","pisces","white"
"19967",58,"socially","never",66,"bisexual","f","libra","white"
"19970",25,"not at all","never",67,"straight","m","virgo","white"
"19971",37,"rarely","never",72,"gay","m","libra","mixed"
"19974",33,"often","never",75,"straight","m","gemini","white"
"19975",24,"socially","never",65,"straight","f","taurus","indian"
"19976",34,"socially","never",66,"straight","f","leo","white"
"19977",25,"socially","never",68,"straight","f","gemini","white"
"19980",46,"socially","never",73,"straight","m","taurus","white"
"19983",25,"socially","sometimes",68,"straight","m","cancer","white"
"19984",43,"socially","never",65,"straight","f","capricorn","indian"
"19986",33,"socially","never",65,"gay","f","cancer","white"
"19988",43,"socially","never",66,"straight","f","gemini","white"
"19989",31,"socially","never",64,"straight","f","scorpio","mixed"
"19993",23,"often","sometimes",67,"straight","f","gemini","white"
"19994",43,"socially","never",69,"straight","f","pisces","white"
"19997",48,"socially","never",69,"straight","m","pisces","mixed"
"19999",51,"socially","sometimes",71,"straight","m","aquarius","white"
"20000",26,"socially","never",70,"straight","f","cancer","mixed"
"20001",35,"socially","never",68,"straight","m","aquarius","mixed"
"20002",18,"socially","often",74,"bisexual","m","virgo","mixed"
"20003",26,"socially","sometimes",64,"straight","m","leo","indian"
"20004",24,"socially","sometimes",69,"gay","m","cancer","hispanic / latin"
"20005",24,"rarely","never",74,"straight","m","libra","white"
"20006",27,"socially","sometimes",62,"straight","f","aries","mixed"
"20010",31,"rarely","never",72,"straight","m","capricorn","white"
"20013",23,"socially","sometimes",67,"straight","m","aquarius","white"
"20014",49,"socially","never",72,"straight","m","aquarius","white"
"20018",24,"socially","sometimes",71,"gay","m","virgo","mixed"
"20020",32,"socially","sometimes",69,"straight","m","cancer","asian"
"20021",27,"often","sometimes",75,"straight","m","leo","white"
"20022",29,"socially","never",66,"straight","m","pisces","white"
"20023",25,"often","never",67,"straight","m","pisces","white"
"20025",33,"socially","never",79,"straight","m","capricorn","white"
"20026",21,"not at all","never",60,"straight","f","capricorn","mixed"
"20028",49,"socially","never",76,"bisexual","m","capricorn","white"
"20031",49,"socially","never",66,"straight","f","cancer","black"
"20032",30,"socially","sometimes",73,"gay","m","libra","hispanic / latin"
"20033",35,"socially","never",66,"straight","f","cancer","asian"
"20036",32,"socially","never",70,"straight","m","cancer","white"
"20039",64,"socially","never",68,"straight","f","leo","white"
"20041",20,"not at all","never",66,"straight","f","libra","mixed"
"20042",19,"rarely","never",65,"straight","f","libra","black"
"20043",32,"socially","never",63,"gay","m","sagittarius","asian"
"20044",33,"often","never",63,"straight","f","virgo","white"
"20045",30,"not at all","never",67,"straight","m","virgo","white"
"20047",20,"socially","sometimes",66,"straight","m","virgo","asian"
"20048",37,"socially","never",65,"straight","f","sagittarius","black"
"20049",32,"rarely","sometimes",71,"gay","m","leo","white"
"20052",56,"socially","never",68,"straight","m","pisces","black"
"20055",27,"socially","never",71,"straight","m","aquarius","mixed"
"20056",18,"rarely","never",72,"straight","m","scorpio","white"
"20057",37,"rarely","never",68,"gay","m","capricorn","white"
"20058",41,"rarely","never",68,"gay","m","leo","black"
"20061",46,"socially","sometimes",67,"straight","m","aries","hispanic / latin"
"20062",19,"socially","never",61,"bisexual","f","capricorn","white"
"20063",32,"socially","never",65,"straight","f","leo","white"
"20065",42,"rarely","never",70,"straight","m","gemini","white"
"20068",27,"socially","sometimes",70,"straight","m","aries","white"
"20069",26,"rarely","never",65,"straight","f","aquarius","mixed"
"20070",28,"socially","sometimes",71,"gay","m","aries","white"
"20072",27,"often","sometimes",82,"straight","m","aries","mixed"
"20073",26,"rarely","never",67,"gay","m","taurus","black"
"20077",45,"socially","never",68,"straight","m","capricorn","black"
"20078",40,"socially","never",72,"straight","m","capricorn","white"
"20079",38,"rarely","never",64,"straight","f","scorpio","asian"
"20081",46,"socially","never",64,"straight","f","scorpio","white"
"20082",34,"socially","never",65,"straight","f","taurus","white"
"20083",26,"not at all","never",65,"gay","f","taurus","white"
"20084",25,"often","never",66,"gay","m","aries","white"
"20085",41,"rarely","never",64,"straight","f","sagittarius","white"
"20087",25,"socially","sometimes",74,"straight","m","pisces","white"
"20089",34,"socially","never",73,"straight","m","virgo","asian"
"20092",61,"socially","never",70,"straight","m","taurus","white"
"20093",33,"socially","never",74,"straight","m","virgo","mixed"
"20095",44,"socially","never",68,"gay","m","aquarius","white"
"20096",26,"socially","never",69,"straight","m","gemini","asian"
"20100",61,"socially","never",62,"straight","f","taurus","white"
"20103",29,"often","never",72,"straight","m","sagittarius","asian"
"20105",59,"socially","never",73,"straight","m","sagittarius","white"
"20109",28,"often","never",69,"straight","m","leo","white"
"20111",33,"socially","never",69,"straight","m","aquarius","mixed"
"20112",47,"socially","never",61,"straight","f","aries","hispanic / latin"
"20113",25,"not at all","never",72,"straight","m","aries","mixed"
"20114",46,"not at all","never",70,"gay","m","leo","mixed"
"20115",38,"socially","often",74,"gay","m","leo","mixed"
"20117",45,"socially","never",65,"gay","m","libra","mixed"
"20119",30,"socially","never",74,"gay","m","taurus","white"
"20120",68,"socially","never",63,"straight","f","gemini","white"
"20123",45,"socially","sometimes",73,"straight","m","pisces","white"
"20125",32,"socially","sometimes",71,"straight","m","sagittarius","white"
"20126",40,"socially","never",74,"gay","m","taurus","white"
"20127",31,"socially","never",70,"straight","f","libra","asian"
"20129",35,"often","never",68,"straight","m","libra","white"
"20130",34,"socially","sometimes",72,"straight","m","capricorn","white"
"20132",28,"often","never",65,"straight","f","libra","white"
"20133",38,"rarely","never",68,"straight","f","aquarius","white"
"20134",30,"socially","sometimes",72,"straight","m","taurus","white"
"20136",24,"socially","never",71,"straight","m","gemini","white"
"20137",28,"not at all","never",71,"gay","m","leo","mixed"
"20140",28,"very often","sometimes",67,"straight","m","sagittarius","mixed"
"20141",23,"socially","never",70,"straight","f","cancer","white"
"20143",21,"socially","never",73,"straight","m","virgo","white"
"20144",26,"socially","never",70,"gay","m","sagittarius","white"
"20145",29,"not at all","never",69,"straight","m","pisces","white"
"20147",20,"not at all","never",67,"straight","m","pisces","hispanic / latin"
"20149",18,"rarely","never",74,"straight","m","pisces","mixed"
"20156",32,"rarely","never",63,"bisexual","f","taurus","white"
"20157",24,"socially","never",72,"straight","m","virgo","asian"
"20159",50,"socially","never",73,"straight","m","cancer","white"
"20160",31,"often","never",72,"straight","m","gemini","asian"
"20161",44,"rarely","sometimes",75,"straight","m","gemini","white"
"20162",31,"socially","never",71,"straight","m","pisces","asian"
"20168",31,"often","never",73,"straight","m","cancer","mixed"
"20169",43,"socially","never",72,"straight","m","libra","white"
"20171",36,"socially","never",64,"straight","f","gemini","white"
"20172",33,"rarely","sometimes",68,"straight","m","virgo","white"
"20173",25,"socially","never",62,"straight","f","aquarius","asian"
"20175",58,"rarely","never",63,"straight","f","cancer","white"
"20177",30,"socially","never",71,"straight","m","leo","white"
"20178",22,"not at all","never",67,"straight","m","gemini","black"
"20179",26,"socially","never",70,"straight","m","libra","indian"
"20185",38,"socially","never",72,"gay","m","aquarius","white"
"20186",22,"socially","never",67,"straight","m","leo","white"
"20188",45,"socially","never",66,"gay","m","sagittarius","asian"
"20189",40,"rarely","never",63,"straight","f","scorpio","white"
"20191",28,"socially","never",72,"straight","m","gemini","white"
"20193",52,"rarely","never",70,"straight","f","aquarius","black"
"20194",24,"very often","sometimes",70,"bisexual","f","sagittarius","mixed"
"20198",24,"socially","never",76,"straight","m","capricorn","white"
"20202",38,"socially","never",62,"straight","f","gemini","indian"
"20203",33,"often","never",64,"straight","f","virgo","asian"
"20204",44,"socially","never",66,"straight","f","libra","white"
"20206",32,"socially","never",67,"straight","f","aquarius","asian"
"20210",56,"socially","never",66,"straight","m","aries","white"
"20212",21,"not at all","never",66,"straight","f","aries","mixed"
"20213",31,"socially","never",60,"straight","f","virgo","mixed"
"20214",32,"socially","never",65,"straight","f","scorpio","asian"
"20215",31,"socially","never",73,"gay","m","taurus","white"
"20216",54,"socially","never",63,"gay","f","gemini","white"
"20217",27,"often","sometimes",72,"straight","m","aries","mixed"
"20219",32,"rarely","never",66,"straight","f","virgo","white"
"20221",28,"socially","never",71,"straight","m","leo","white"
"20225",64,"rarely","sometimes",67,"straight","f","taurus","white"
"20228",46,"socially","never",70,"gay","m","virgo","white"
"20230",46,"socially","never",65,"straight","f","sagittarius","white"
"20231",28,"rarely","never",69,"straight","f","aries","white"
"20232",26,"socially","never",75,"straight","m","gemini","white"
"20233",61,"rarely","sometimes",63,"straight","f","gemini","white"
"20234",40,"socially","never",71,"gay","m","libra","white"
"20235",28,"rarely","never",66,"straight","f","aquarius","asian"
"20236",40,"socially","sometimes",72,"straight","m","pisces","white"
"20238",31,"socially","never",63,"straight","f","aries","white"
"20239",35,"rarely","never",67,"gay","f","taurus","white"
"20240",35,"rarely","never",62,"straight","f","sagittarius","white"
"20241",53,"socially","never",63,"straight","f","scorpio","white"
"20242",36,"socially","never",70,"straight","f","leo","mixed"
"20243",39,"socially","never",63,"straight","f","aries","white"
"20244",43,"socially","never",66,"straight","f","virgo","white"
"20249",35,"socially","never",65,"straight","f","capricorn","white"
"20252",32,"socially","sometimes",70,"straight","m","taurus","white"
"20255",42,"socially","sometimes",70,"straight","m","virgo","white"
"20256",33,"socially","never",71,"straight","m","leo","black"
"20257",33,"socially","never",71,"straight","m","leo","asian"
"20258",32,"socially","never",71,"straight","m","leo","white"
"20261",31,"socially","never",74,"straight","m","aries","white"
"20262",36,"socially","never",65,"straight","f","taurus","asian"
"20263",31,"socially","never",66,"gay","m","aries","asian"
"20265",41,"socially","never",66,"straight","f","libra","white"
"20266",22,"socially","never",66,"straight","f","sagittarius","black"
"20269",30,"often","sometimes",61,"straight","f","aries","asian"
"20270",32,"socially","never",67,"straight","f","aries","indian"
"20271",26,"socially","never",67,"straight","m","libra","asian"
"20272",20,"socially","sometimes",66,"straight","f","pisces","hispanic / latin"
"20274",20,"socially","never",67,"straight","m","taurus","hispanic / latin"
"20277",51,"socially","never",70,"straight","m","cancer","black"
"20278",26,"rarely","never",72,"straight","m","leo","white"
"20282",33,"socially","sometimes",64,"straight","f","virgo","white"
"20283",34,"socially","never",62,"straight","f","pisces","asian"
"20286",69,"socially","never",70,"straight","m","pisces","white"
"20289",22,"socially","never",68,"straight","f","virgo","white"
"20290",33,"often","sometimes",71,"straight","m","capricorn","white"
"20291",34,"socially","sometimes",72,"straight","m","cancer","white"
"20292",24,"often","never",70,"straight","m","pisces","mixed"
"20293",30,"socially","never",67,"straight","m","capricorn","asian"
"20294",28,"socially","never",75,"straight","m","scorpio","white"
"20295",42,"socially","never",66,"gay","m","aries","hispanic / latin"
"20296",36,"socially","sometimes",72,"straight","m","leo","asian"
"20297",28,"socially","never",72,"straight","m","scorpio","white"
"20298",21,"socially","never",70,"straight","m","virgo","black"
"20299",27,"not at all","never",70,"gay","m","aquarius","white"
"20301",56,"not at all","never",70,"straight","m","pisces","white"
"20302",41,"socially","never",62,"straight","f","virgo","white"
"20303",32,"socially","never",68,"straight","m","cancer","mixed"
"20305",36,"socially","never",68,"straight","f","aquarius","white"
"20309",42,"socially","never",71,"straight","m","aquarius","mixed"
"20310",24,"socially","sometimes",68,"gay","f","aquarius","white"
"20316",30,"socially","never",67,"straight","m","pisces","hispanic / latin"
"20318",23,"socially","never",72,"straight","m","virgo","white"
"20322",49,"socially","never",73,"gay","m","taurus","white"
"20324",36,"socially","sometimes",73,"gay","m","cancer","white"
"20326",40,"rarely","never",67,"straight","m","aries","white"
"20328",44,"socially","sometimes",69,"bisexual","f","cancer","white"
"20330",39,"socially","never",66,"straight","m","virgo","mixed"
"20331",33,"socially","never",70,"gay","m","taurus","mixed"
"20332",30,"not at all","never",72,"gay","m","libra","white"
"20333",32,"rarely","never",63,"straight","f","virgo","mixed"
"20334",18,"not at all","never",65,"straight","f","libra","mixed"
"20338",24,"socially","sometimes",72,"straight","m","libra","mixed"
"20339",24,"socially","never",72,"gay","m","capricorn","hispanic / latin"
"20341",40,"socially","never",72,"straight","m","capricorn","mixed"
"20342",31,"not at all","never",67,"bisexual","m","pisces","white"
"20346",23,"not at all","never",69,"straight","f","gemini","white"
"20348",23,"socially","never",75,"straight","m","leo","white"
"20351",27,"often","sometimes",72,"straight","m","cancer","white"
"20352",27,"rarely","never",67,"straight","m","cancer","white"
"20353",40,"not at all","never",77,"straight","m","leo","white"
"20354",34,"socially","never",72,"straight","m","aries","mixed"
"20359",35,"socially","sometimes",65,"straight","f","aquarius","white"
"20364",42,"rarely","never",70,"straight","m","pisces","white"
"20370",45,"often","never",67,"gay","f","pisces","white"
"20372",19,"socially","sometimes",67,"straight","m","leo","hispanic / latin"
"20376",25,"socially","never",65,"straight","m","pisces","asian"
"20377",24,"socially","never",72,"straight","m","sagittarius","asian"
"20380",43,"not at all","never",68,"gay","m","virgo","mixed"
"20382",20,"socially","sometimes",72,"straight","m","scorpio","white"
"20383",26,"socially","sometimes",72,"straight","m","gemini","white"
"20385",26,"socially","never",72,"straight","m","pisces","white"
"20386",29,"socially","never",74,"straight","m","cancer","white"
"20388",33,"rarely","never",61,"straight","f","gemini","white"
"20389",23,"socially","never",72,"straight","m","scorpio","white"
"20391",46,"socially","never",68,"straight","f","leo","white"
"20392",28,"socially","sometimes",66,"straight","m","scorpio","black"
"20393",22,"socially","never",67,"gay","m","virgo","hispanic / latin"
"20394",34,"socially","never",68,"straight","m","gemini","mixed"
"20398",22,"socially","never",72,"straight","m","libra","hispanic / latin"
"20399",52,"socially","never",72,"gay","m","cancer","white"
